,Link,Name,Subtitle,Original_price,Sale_price
0,,,,,
1,https://www.nike.com/in/t/dunk-high-retro-shoes-j0DFKd/DJ6189-400,Nike Dunk High Retro,Men's Shoes,₹ 10 295,₹ 9 777
2,https://www.nike.com/in/t/air-more-uptempo-96-shoes-33Qdlb/DQ5014-100,Nike Air More Uptempo '96,Men's Shoes,₹ 15 995,₹ 15 197
3,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-hHltxp/DN4904-001,Air Jordan 1 Mid SE,Men's Shoes,₹ 10 295,₹ 9 777
4,https://www.nike.com/in/t/air-force-1-fontanka-shoes-LtBCnn/DA7024-101,Nike Air Force 1 Fontanka,Women's Shoes,₹ 9 295,₹ 8 827
5,https://www.nike.com/in/t/air-force-1-07-lx-shoes-RbMfC9/DV1031-030,Nike Air Force 1 '07 LX,Women's Shoes,₹ 8 695,₹ 8 257
6,https://www.nike.com/in/t/dunk-high-retro-shoe-DdRmMZ/DD1399-800,Nike Dunk High Retro,Men's Shoe,₹ 9 295,₹ 8 827
7,https://www.nike.com/in/t/air-jordan-6-retro-older-shoes-w3m8Pg/DM9045-100,Air Jordan 6 Retro,Older Kids' Shoes,₹ 10 995,₹ 10 447
8,https://www.nike.com/in/t/air-zoom-pegasus-38-flyease-easy-on-off-road-running-shoes-04tB9v/DA6698-700,Nike Air Zoom Pegasus 38 FlyEase,Women's Easy On/Off Road Running Shoes,₹ 9 995,₹ 9 497
9,https://www.nike.com/in/t/jordan-series-es-shoes-FDtg9v/DN1856-060,Jordan Series ES,Men's Shoes,₹ 7 495,₹ 7 117
10,https://www.nike.com/in/t/renew-ride-3-road-running-shoes-fzS091/DC8185-400,Nike Renew Ride 3,Men's Road Running Shoes,₹ 6 295,₹ 5 977
11,https://www.nike.com/in/t/jordan-dri-fit-zion-french-terry-pullover-hoodie-gwFhzx/DR2100-410,Jordan Dri-FIT x Zion,Men's French Terry Pullover Hoodie,₹ 3 995,₹ 3 797
12,https://www.nike.com/in/t/air-force-1-high-07-lv8-vintage-shoes-s7bp1q/DM0209-101,Nike Air Force 1 High '07 LV8 Vintage,Men's Shoes,₹ 11 295,₹ 10 727
13,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-100,Nike SB Zoom Blazer Low Pro GT Premium,Skate Shoes,₹ 7 495,₹ 7 117
14,https://www.nike.com/in/t/air-max-90-se-shoes-C2hpvg/DM0036-100,Nike Air Max 90 SE,Men's Shoes,₹ 11 895,₹ 11 297
15,https://www.nike.com/in/t/revolution-6-next-nature-road-running-shoes-vjrrwc/DC3729-401,Nike Revolution 6 Next Nature,Women's Road Running Shoes,₹ 3 695,₹ 3 507
16,https://www.nike.com/in/t/air-zoom-pegasus-39-road-running-shoes-pmNJM1/DO9580-400,Nike Air Zoom Pegasus 39 Premium,Men's Road Running Shoes,₹ 11 595,₹ 11 017
17,https://www.nike.com/in/t/renew-serenity-run-road-running-shoes-BVzhTq/DB0522-600,Nike Renew Serenity Run,Women's Road Running Shoes,₹ 6 795,₹ 6 457
18,https://www.nike.com/in/t/dunk-high-1985-sp-shoes-Kwc210/DD9404-800,Nike Dunk High 1985 SP,Shoes,₹ 11 495,₹ 10 917
19,https://www.nike.com/in/t/jordan-air-200e-shoes-RJ2RrL/DC9836-060,Jordan Air 200E,Men's Shoes,₹ 11 995,₹ 11 397
20,https://www.nike.com/in/t/lebron-19-basketball-shoes-t8kzPM/DH8459-900,LeBron 19,Basketball Shoes,₹ 18 695,₹ 17 757
